,x[px],y[px],r[px]
1536,70,174,53
1537,71,173,52
1538,70,173,52
1539,71,173,51
1540,71,169,45
1541,72,183,34
1542,72,185,34
1543,73,184,35
1544,74,184,37
1545,76,185,38
1546,79,185,41
1547,63,181,24
1548,63,184,25
1549,63,186,25
1550,62,199,24
1551,83,190,2
1552,83,190,2
1553,83,190,1
1554,83,190,1
1555,83,190,1
1556,83,190,1
1557,83,190,1
1558,83,190,1
1559,83,190,1
1560,83,190,1
1561,83,190,1
1562,83,190,1
1563,83,190,1
1564,83,190,1
1565,83,190,1
1566,83,190,1
1567,83,190,1
1568,83,190,1
1569,83,190,1
1570,83,190,1
1571,83,190,1
1572,83,190,1
1573,83,190,1
1574,83,190,1
1575,83,190,1
1576,83,190,1
1577,83,190,1
1578,83,190,1
1579,83,190,1
1580,83,190,1
1581,83,190,1
1582,83,190,1
1583,83,190,1
1584,83,190,1
1585,83,190,1
1586,83,190,1
1587,83,190,1
1588,83,190,1
1589,83,190,1
1590,83,190,1
1591,83,190,1
1592,83,190,1
1593,83,190,1
1594,83,190,1
1595,83,190,1
1596,83,190,1
1597,83,190,1
1598,42,207,46
1599,42,207,47
1600,43,206,48
1601,44,206,49
1602,44,204,49
1603,45,174,56
1604,46,174,56
1605,47,174,56
1606,47,174,56
1607,48,174,56
1608,48,174,56
1609,49,174,56
1610,49,174,56
1611,49,174,56
1612,50,174,56
1613,50,174,56
1614,51,174,57
1615,51,174,57
1616,52,173,58
1617,52,196,58
1618,53,187,58
1619,52,187,58
1620,53,187,58
1621,53,187,58
1622,54,187,59
1623,54,196,60
1624,54,189,60
1625,54,187,60
1626,54,188,60
1627,54,188,60
1628,54,188,60
1629,55,188,61
1630,76,189,40
1631,76,188,39
1632,77,182,40
1633,78,183,40
1634,77,190,39
1635,78,192,40
1636,79,192,41
1637,80,193,42
1638,80,192,42
1639,81,191,43
1640,90,191,52
1641,90,191,52
1642,90,191,52
1643,90,191,52
1644,90,193,52
1645,90,193,52
1646,91,191,53
1647,91,191,53
1648,101,191,42
1649,101,191,42
1650,101,191,42
1651,101,191,41
1652,101,172,54
1653,101,172,54
1654,101,172,54
1655,101,172,54
1656,101,172,54
