# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
 118.17120,   0.00000,   0.00000,   0.00000
 118.54560,   0.00000,   0.00000,   0.00000
 118.92000,   0.00000,   0.00000,   0.00000
 119.29440,   0.00000,   0.00000,   0.00000
 119.66880,   0.00000,   0.00000,   0.00000
 120.04320,   0.00000,   0.00000,   0.00000
 120.41760,   0.00000,   0.00000,   0.00000
 120.79200,   0.00000,   0.00000,   0.00000
 121.16640,   0.00000,   0.00000,   0.00000
 121.54080,   0.00000,   0.00000,   0.00000
 121.91520,   0.00000,   0.00000,   0.00000
 122.28960,   0.00000,   0.00000,   0.00000
 122.66400,   0.00000,   0.00000,   0.00000
